0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/js/messages_zh.js HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/js/jquery-1.7.1.min.js HTTP/1.1" 200 126334
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/js/jquery.validate.js HTTP/1.1" 200 36436
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/js/sand.js HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/images/logo2.jpg HTTP/1.1" 200 19703
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/images/2.jpg HTTP/1.1" 200 88034
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:24 +0800] "GET /group3/userweb/images/er_ctrip_wechat.jpg HTTP/1.1" 200 7276
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:25 +0800] "GET /group3/userweb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:25 +0800] "GET /group3/userweb/images/totop.png HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:36:25 +0800] "GET /group3/userweb/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:37:53 +0800] "POST /group3/queryInfo/userLogin HTTP/1.1" 500 16406
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:37:53 +0800] "POST /group3/queryInfo/userLogin HTTP/1.1" 500 16406
0:0:0:0:0:0:0:1 - - [03/Aug/2017:06:15:52 +0800] "GET /group3/queryInfo/ticketQuery HTTP/1.1" 200 24726
0:0:0:0:0:0:0:1 - - [03/Aug/2017:06:15:52 +0800] "GET /group3/queryInfo/js/ticketQueryRelated.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:06:15:52 +0800] "GET /group3/queryInfo/images/logo2.jpg HTTP/1.1" 304 -
