0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:13 +0800] "GET /group3/main/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:13 +0800] "GET /group3/main/images/5.jpg HTTP/1.1" 200 414821
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:13 +0800] "GET /group3/main/images/4.jpg HTTP/1.1" 200 100159
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:13 +0800] "GET /group3/main/images/1.jpg HTTP/1.1" 200 318669
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/CommonSence HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/css/style_footer.css HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/js/bootstrap.min.js HTTP/1.1" 200 34498
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/css/style.css HTTP/1.1" 200 46018
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/css/font-awesome.min.css HTTP/1.1" 200 17780
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/css/news-nav.css HTTP/1.1" 200 3759
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/js/jquery.min.js HTTP/1.1" 200 93868
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/js/jquery.leanModal.min.js HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/js/easyResponsiveTabs.js HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/js/megamenu.js HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/css/style_nav.css HTTP/1.1" 200 24084
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/css/bootstrap.css HTTP/1.1" 200 116868
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/js/responsive-tabs.js HTTP/1.1" 200 5319
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:17 +0800] "GET /group3/purchase/images/logo2.jpg HTTP/1.1" 200 19703
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/CommonSence HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/images/CommonSense.bmp HTTP/1.1" 200 1378916
